Location,Street_code,Box_code,Area,Municipality,Province,Country
Tulisa Park Ext 15,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Ext 3,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Ext 6,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Ext 7,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Uit 15,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Uit 3,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Uit 6,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Tulisa Park Uit 7,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Unigray,2197,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Bellevue,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Bellevue Central,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Bellevue East,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Bellevue Sentraal,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Bellevue-Oos,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Berea,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Berea North,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Berea-Noord,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Bruma,2198,2026,Johannesburg,City of Johannesburg,Gauteng,South Africa
Cyrildene,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Dewetshof,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Dewetshof Ext,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Dewetshof Uit,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Highlands,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Houghton,2198,2041,Johannesburg,City of Johannesburg,Gauteng,South Africa
Houghton Est,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Houghton Estate,-------,2198,Johannesburg,City of Johannesburg,Gauteng,South Africa
Houghton Lgd,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Linksfield Ridge,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Lower Houghton,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Observatory,2198,2187,Johannesburg,City of Johannesburg,Gauteng,South Africa
Observatory Ext,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Observatory Uit,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Rand View,2198,-------,Johannesburg,City of Johannesburg,Gauteng,South Africa
Yeoville,2198,2143,Johannesburg,City of Johannesburg,Gauteng,South Africa
Rietkol,-------,2200,Sundra,Nkangala,Mpumalanga,South Africa
Sundra,-------,2200,Witbank,Nkangala,Mpumalanga,South Africa
Botleng,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Ext 1,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Ext 2,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Ext 3,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Ext 4,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Ext 5,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Ext 6,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Uit 1,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Uit 2,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Uit 3,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Uit 4,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Uit 5,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Botleng Uit 6,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas,2210,2210,Witbank,Nkangala,Mpumalanga,South Africa
Delmas Ext 1,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Ext 14,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Ext 2,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Ext 3,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Ext 4,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Uit 1,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Uit 14,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Uit 2,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Uit 3,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Delmas Uit 4,2210,2210,Delmas,Nkangala,Mpumalanga,South Africa
Mandela Squater Camp,-------,2210,Delmas,Nkangala,Mpumalanga,South Africa
Droogefontein,-------,2211,Sundra,Nkangala,Mpumalanga,South Africa
Eloff,-------,2211,Delmas,Nkangala,Mpumalanga,South Africa
Greenworld,-------,2213,Delmas,Gert Sibande,Mpumalanga,South Africa
Kendal,2225,2225,Witbank,Nkangala,Mpumalanga,South Africa
Voltargo,-------,2226,Witbank,Nkangala,Mpumalanga,South Africa
Ogies,2230,2230,Witbank,Nkangala,Mpumalanga,South Africa
Rietspruit,-------,2231,Kriel,Nkangala,Mpumalanga,South Africa
Khuthala,-------,2232,Ogies,Nkangala,Mpumalanga,South Africa
Phola,2233,2233,Ogies,Nkangala,Mpumalanga,South Africa
New Clydesdale,-------,2245,Van Dyksdrif,Nkangala,Mpumalanga,South Africa
Van Dyksdrif,-------,2245,Van Dyksdrif,Nkangala,Mpumalanga,South Africa
Blinkpan,-------,2250,Witbank,Nkangala,Mpumalanga,South Africa
Koornfontein,-------,2250,Blinkpan,Nkangala,Mpumalanga,South Africa
Devon,2260,2260,Evander,Gert Sibande,Mpumalanga,South Africa
Devon,-------,2260,Devon,Sedibeng,Gauteng,South Africa
Leandra,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Leandra Ext 10,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Leandra Uit 10,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 10,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 11,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 12,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 15,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 17,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 4,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 5,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 6,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Ext 9,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 10,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 11,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 12,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 15,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 17,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 4,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 5,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 6,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Lebohang Uit 9,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Leslie,2265,2265,Leslie,Gert Sibande,Mpumalanga,South Africa
Eendrag,2266,2266,Evander,Gert Sibande,Mpumalanga,South Africa
Impumelelo,-------,2267,Impumelelo,Sedibeng,Gauteng,South Africa
Kinross,2270,2270,Evander,Gert Sibande,Mpumalanga,South Africa
Kinross Ext 25,2270,2270,Evander,Gert Sibande,Mpumalanga,South Africa
Kinross Uit 25,2270,2270,Evander,Gert Sibande,Mpumalanga,South Africa
Ethubelihle,-------,2271,Kriel,Nkangala,Mpumalanga,South Africa
Kriel,2271,2271,Kriel,Nkangala,Mpumalanga,South Africa
Thubelihle,2271,2276,Kriel,Nkangala,Mpumalanga,South Africa
Kwanala,-------,2272,Kriel,Nkangala,Mpumalanga,South Africa
Matco,-------,2275,Kriel,Nkangala,Mpumalanga,South Africa
Thubelihle,2271,2276,Kriel,Nkangala,Mpumalanga,South Africa
Afghanistan Ext 25,2280,2280,Evander,Gert Sibande,Mpumalanga,South Africa
Afghanistan Uit 25,2280,2280,Evander,Gert Sibande,Mpumalanga,South Africa
Evander,2280,2280,Evander,Gert Sibande,Mpumalanga,South Africa
Tornaka,2284,-------,Evander,Gert Sibande,Mpumalanga,South Africa
Embalenhle,2285,2285,Evander,Gert Sibande,Mpumalanga,South Africa
Embalenhle,-------,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 1,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 10,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 11,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 12,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 13,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 14,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 15,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 16,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 17,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 18,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 19,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 2,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 20,2285,2285,Evander,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 21,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 22,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 25,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 26,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 3,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 4,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 5,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 6,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 7,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 8,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Ext 9,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 1,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 10,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 11,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 12,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 13,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 14,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 15,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 16,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 17,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 18,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 19,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 2,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 20,2285,2285,Evander,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 21,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 22,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 25,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 26,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 3,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 4,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 5,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 6,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 7,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 8,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Embalenhle Uit 9,2285,2285,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Langverwagt,-------,2285,Evander,Gert Sibande,Mpumalanga,South Africa
Langverwagt Ext 17,2285,-------,Evander,Gert Sibande,Mpumalanga,South Africa
Langverwagt Uit 17,2285,-------,Evander,Gert Sibande,Mpumalanga,South Africa
Mbalentle,2285,-------,Evander,Gert Sibande,Mpumalanga,South Africa
White City,2285,-------,Embalenhle,Gert Sibande,Mpumalanga,South Africa
White City Ext,2285,-------,Embalenhle,Gert Sibande,Mpumalanga,South Africa
White City Uit,2285,-------,Embalenhle,Gert Sibande,Mpumalanga,South Africa
Trichardt,2300,2300,Secunda,Gert Sibande,Mpumalanga,South Africa
Trichardt Ext 1,2300,2300,Secunda,Gert Sibande,Mpumalanga,South Africa
Trichardt Uit 1,2300,2300,Secunda,Gert Sibande,Mpumalanga,South Africa
Charl Cilliers,-------,2301,Secunda,Gert Sibande,Mpumalanga,South Africa
Colliery,-------,2302,Colliery,Gert Sibande,Mpumalanga,South Africa
Colliery,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Driefontein,-------,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Hoeveldrif,-------,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Palms,-------,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Ext 16,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Ext 22,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Ext 23,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Ext 32,2302,-------,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Uit 16,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Uit 22,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Uit 23,2302,2302,Secunda,Gert Sibande,Mpumalanga,South Africa
Secunda Uit 32,2302,-------,Secunda,Gert Sibande,Mpumalanga,South Africa
Bethal,2309,2310,Bethal,Gert Sibande,Mpumalanga,South Africa
Bethal Ext 1,2309,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Bethal Uit 1,2309,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni,2309,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Bethal,2309,2310,Bethal,Gert Sibande,Mpumalanga,South Africa
Bethal Ext 5,2310,2310,Bethal,Gert Sibande,Mpumalanga,South Africa
Bethal Uit 5,2310,2310,Bethal,Gert Sibande,Mpumalanga,South Africa
Cauville,-------,2310,Cauville,Gert Sibande,Mpumalanga,South Africa
Cauville,2310,2310,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 1,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 2,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 22,2311,2311,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 23,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 3,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 5,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 6,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 1,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 2,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 22,2311,2311,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 23,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 3,2311,-------,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 5,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 6,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 4,2312,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 5,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Ext 6,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 4,2312,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 5,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Emzinoni Uit 6,2311,2312,Bethal,Gert Sibande,Mpumalanga,South Africa
Morgenzon,-------,2315,Morgenzon,Gert Sibande,Mpumalanga,South Africa
Davel,-------,2320,Bethal,Gert Sibande,Mpumalanga,South Africa
Top Shayela,-------,2329,Top Shayela,Gert Sibande,Mpumalanga,South Africa
Breyten,2330,2330,Ermelo,Gert Sibande,Mpumalanga,South Africa
Kwazanele,-------,2330,Breyten,Gert Sibande,Mpumalanga,South Africa
Chrissiesmeer,2332,2332,Ermelo,Gert Sibande,Mpumalanga,South Africa
Warburton,-------,2333,Ermelo,Gert Sibande,Mpumalanga,South Africa
The Brook,-------,2334,Ermelo,Gert Sibande,Mpumalanga,South Africa
Mpuluzi,2335,2335,Mpuluzi,Gert Sibande,Mpumalanga,South Africa
Dundonald,-------,2336,Ermelo,Gert Sibande,Mpumalanga,South Africa
Dundonald Ext 2,2336,-------,Dundonald,Gert Sibande,Mpumalanga,South Africa
Dundonald Uit 2,2336,-------,Dundonald,Gert Sibande,Mpumalanga,South Africa
Glenmore,2336,-------,Dundonald,Gert Sibande,Mpumalanga,South Africa
Lochiel,2337,2337,Ermelo,Gert Sibande,Mpumalanga,South Africa
Fernie,-------,2339,Ermelo,Gert Sibande,Mpumalanga,South Africa
Zwallow Nest,-------,2340,Ermelo,Gert Sibande,Mpumalanga,South Africa
Zwallow's Nest,-------,2340,Ermelo,Gert Sibande,Mpumalanga,South Africa
Salebona,-------,2341,Ermelo,Gert Sibande,Mpumalanga,South Africa
Fernie North,-------,2342,Mpuluzi,Gert Sibande,Mpumalanga,South Africa
Fernie-noord,-------,2342,Mpuluzi,Gert Sibande,Mpumalanga,South Africa
Ermelo,2351,2350,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Ext 33,2351,2350,Ermelo,Nkangala,Mpumalanga,South Africa
Ermelo Uit 33,2351,2350,Ermelo,Nkangala,Mpumalanga,South Africa
Cassim Park,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
De Bruinpark,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo,2351,2350,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Ext 1,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Ext 14,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Ext 2,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Ext 33,2351,2350,Ermelo,Nkangala,Mpumalanga,South Africa
Ermelo Ext 4,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Ext 6,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Uit 1,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Uit 14,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Uit 2,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Uit 33,2351,2350,Ermelo,Nkangala,Mpumalanga,South Africa
Ermelo Uit 4,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Ermelo Uit 6,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Everestpark,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
George Bothapark,2351,2351,Ermelo,Gert Sibande,Mpumalanga,South Africa
John Vorsterpark,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Katshabalala,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Klipbou,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Nederlandpark,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Phumula,2351,-------,Ermelo,Nkangala,Mpumalanga,South Africa
Sun City,2351,2351,Ermelo,Nkangala,Mpumalanga,South Africa
Tembisa,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton,2351,2353,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Ext 1,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Ext 2,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Ext 3,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Ext 4,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Ext 5,2351,2351,Ermelo,Nkangala,Mpumalanga,South Africa
Wesselton Ext 6,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Uit 1,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Uit 2,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Uit 3,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Uit 4,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton Uit 5,2351,2351,Ermelo,Nkangala,Mpumalanga,South Africa
Wesselton Uit 6,2351,-------,Ermelo,Gert Sibande,Mpumalanga,South Africa
Sheepmoor,2352,2352,Ermelo,Gert Sibande,Mpumalanga,South Africa
Wesselton,2351,2353,Ermelo,Gert Sibande,Mpumalanga,South Africa
Camden,2355,-------,Nucam,Gert Sibande,Mpumalanga,South Africa
Nucam,2355,2355,Ermelo,Gert Sibande,Mpumalanga,South Africa
Oshoek,-------,2356,Ermelo,Gert Sibande,Mpumalanga,South Africa
Oshoek Border Post,2356,-------,Secunda,Gert Sibande,Mpumalanga,South Africa
Litjelembube,-------,2357,Ermelo,Gert Sibande,Mpumalanga,South Africa
Lothair,2370,2370,Ermelo,Gert Sibande,Mpumalanga,South Africa
Amsterdam,-------,2375,Mpumalanga,Gert Sibande,Mpumalanga,South Africa
Diepdale,2375,-------,Amsterdam,Gert Sibande,Mpumalanga,South Africa
Ethandokukhanya,-------,2380,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Kempville,-------,2380,Piet Retief,Gert Sibande,Mpumalanga,South Africa
New Location,-------,2380,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Nuwe Lokasie,-------,2380,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Phola Park,2380,-------,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Piet Retief,2380,2380,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Rietville,2380,-------,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Sgodiphola,2380,-------,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Iswepe,-------,2382,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Inthuthuko,-------,2383,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Msibi,-------,2384,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Commondale,-------,2385,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Dirkiesdorp,-------,2386,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Moolman,-------,2387,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Entumbane,-------,2388,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Emgulatshani,-------,2389,Piet Retief,Gert Sibande,Mpumalanga,South Africa
Balfour,-------,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Balfour,2410,2410,Mpumalanga,Gert Sibande,Mpumalanga,South Africa
Balfour Ext 6,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Balfour North,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Balfour Uit 6,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Balfour-Noord,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Siyathemba,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Siyathemba Ext 5,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Siyathemba Uit 5,2410,2410,Balfour,Gert Sibande,Mpumalanga,South Africa
Greylingstad,2415,2415,Greylingstad,Gert Sibande,Mpumalanga,South Africa
Grootvlei,-------,2420,Grootvlei,Gert Sibande,Mpumalanga,South Africa
Val,-------,2425,Standerton,Gert Sibande,Mpumalanga,South Africa
Cosmos Park,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Flora Park,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Florapark,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Kosmos Park,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Kosmos Park Ext 3,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Kosmos Park Uit 3,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Kosmospark,2429,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Meyerville,2429,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Azalia,2430,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Flora Park Ext 3,2430,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Florapark Uit 3,2430,-------,Standerton,Gert Sibande,Mpumalanga,South Africa
Kosmos Park Ext 4,-------,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Kosmos Park Uit 4,-------,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Meyerville,2429,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Standerton,2430,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Standerton Ext 1,2430,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Standerton Ext 6,2431,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Standerton Uit 1,2430,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Standerton Uit 6,2431,2430,Standerton,Gert Sibande,Mpumalanga,South Africa
Sakhile,-------,2431,Sakhile,Gert Sibande,Mpumalanga,South Africa
